flight_number,departure_airport,departure_time,arrival_airport,arrival_time
FL159,LAX,2024-05-10 12:58,HND,2024-05-10 15:58
FL334,CPH,2024-05-10 09:09,JFK,2024-05-10 19:09
FL487,FRA,2024-05-10 15:05,CDG,2024-05-11 00:05
FL498,AMS,2024-05-10 13:36,CPH,2024-05-10 15:36
FL438,LHR,2024-05-10 15:18,AMS,2024-05-11 03:18
FL919,SIN,2024-05-10 14:34,JFK,2024-05-10 16:34
FL125,FRA,2024-05-10 06:23,HND,2024-05-10 14:23
FL351,CPH,2024-05-10 07:29,FRA,2024-05-10 10:29
FL915,CPH,2024-05-10 15:14,LHR,2024-05-11 00:14
FL774,AMS,2024-05-10 15:25,CPH,2024-05-10 22:25
FL870,CDG,2024-05-10 11:08,SIN,2024-05-10 21:08
FL244,CPH,2024-05-10 07:08,AMS,2024-05-10 11:08
FL199,LHR,2024-05-10 10:48,CPH,2024-05-10 11:48
FL453,SIN,2024-05-10 13:30,LAX,2024-05-11 01:30
FL987,CPH,2024-05-10 13:32,AMS,2024-05-10 15:32
FL442,LHR,2024-05-10 10:04,SIN,2024-05-10 15:04
FL680,DXB,2024-05-10 15:19,FRA,2024-05-10 16:19
FL841,HND,2024-05-10 15:50,FRA,2024-05-10 19:50
FL676,CDG,2024-05-10 15:16,HND,2024-05-10 17:16
FL672,FRA,2024-05-10 14:39,LHR,2024-05-10 23:39
FL640,CDG,2024-05-10 08:25,LAX,2024-05-10 19:25
FL123,JFK,2024-05-10 10:46,LAX,2024-05-10 19:46
FL867,FRA,2024-05-10 07:34,CPH,2024-05-10 09:34
FL830,CPH,2024-05-10 07:53,FRA,2024-05-10 13:53
FL283,LAX,2024-05-10 12:18,FRA,2024-05-10 15:18
FL181,LHR,2024-05-10 10:10,LAX,2024-05-10 13:10
FL421,LAX,2024-05-10 12:30,CPH,2024-05-10 19:30
FL852,JFK,2024-05-10 12:58,FRA,2024-05-10 14:58
FL212,AMS,2024-05-10 13:11,CDG,2024-05-10 20:11
FL528,JFK,2024-05-10 08:45,DXB,2024-05-10 12:45
FL407,AMS,2024-05-10 12:25,CDG,2024-05-10 17:25
FL457,CDG,2024-05-10 15:46,JFK,2024-05-10 20:46
FL209,FRA,2024-05-10 08:46,CDG,2024-05-10 14:46
FL881,AMS,2024-05-10 14:06,CDG,2024-05-10 15:06
FL229,LHR,2024-05-10 14:34,HND,2024-05-10 21:34
FL544,LHR,2024-05-10 10:33,DXB,2024-05-10 18:33
FL684,AMS,2024-05-10 09:43,FRA,2024-05-10 10:43
FL468,DXB,2024-05-10 07:53,HND,2024-05-10 12:53
FL244,CPH,2024-05-10 07:24,CDG,2024-05-10 08:24
FL987,LAX,2024-05-10 14:38,LHR,2024-05-10 19:38
FL509,CDG,2024-05-10 14:31,SIN,2024-05-10 23:31
FL970,CPH,2024-05-10 12:47,HND,2024-05-10 17:47
FL360,JFK,2024-05-10 10:58,CDG,2024-05-10 16:58
FL939,CPH,2024-05-10 14:36,HND,2024-05-10 15:36
FL326,SIN,2024-05-10 12:02,AMS,2024-05-10 17:02
FL816,CDG,2024-05-10 07:25,HND,2024-05-10 12:25
FL337,JFK,2024-05-10 15:06,DXB,2024-05-11 03:06
FL610,LHR,2024-05-10 10:42,DXB,2024-05-10 15:42
FL445,LAX,2024-05-10 08:47,DXB,2024-05-10 15:47
FL950,DXB,2024-05-10 11:39,JFK,2024-05-10 20:39
FL880,DXB,2024-05-10 07:07,FRA,2024-05-10 09:07
FL242,HND,2024-05-10 11:17,SIN,2024-05-10 18:17
FL923,LAX,2024-05-10 13:11,CPH,2024-05-10 22:11
FL894,SIN,2024-05-10 14:06,CDG,2024-05-10 23:06
FL840,DXB,2024-05-10 08:55,AMS,2024-05-10 17:55
FL277,FRA,2024-05-10 10:34,SIN,2024-05-10 15:34
FL192,JFK,2024-05-10 12:03,CPH,2024-05-10 16:03
FL982,LHR,2024-05-10 07:20,JFK,2024-05-10 13:20
FL860,LAX,2024-05-10 12:03,DXB,2024-05-11 00:03
FL624,AMS,2024-05-10 13:58,SIN,2024-05-10 22:58
FL859,SIN,2024-05-10 11:31,DXB,2024-05-10 16:31
FL595,LHR,2024-05-10 07:03,AMS,2024-05-10 13:03
FL203,HND,2024-05-10 11:01,DXB,2024-05-10 13:01
FL946,HND,2024-05-10 14:16,JFK,2024-05-10 22:16
FL212,DXB,2024-05-10 15:45,LAX,2024-05-10 22:45
FL676,LHR,2024-05-10 13:38,AMS,2024-05-10 22:38
FL939,DXB,2024-05-10 11:03,CPH,2024-05-10 12:03
FL521,LAX,2024-05-10 14:47,SIN,2024-05-10 16:47
FL601,DXB,2024-05-10 07:47,SIN,2024-05-10 10:47
FL942,LAX,2024-05-10 10:47,CPH,2024-05-10 13:47
FL705,CDG,2024-05-10 14:05,SIN,2024-05-10 17:05
FL384,JFK,2024-05-10 13:49,LHR,2024-05-11 01:49
FL873,LAX,2024-05-10 07:36,CDG,2024-05-10 10:36
FL832,CPH,2024-05-10 06:19,SIN,2024-05-10 17:19
FL979,FRA,2024-05-10 13:36,LAX,2024-05-11 01:36
FL677,CPH,2024-05-10 08:48,JFK,2024-05-10 17:48
FL944,JFK,2024-05-10 06:13,CDG,2024-05-10 12:13
FL880,LAX,2024-05-10 09:20,FRA,2024-05-10 21:20
FL346,FRA,2024-05-10 13:14,HND,2024-05-10 19:14
FL868,AMS,2024-05-10 09:55,SIN,2024-05-10 13:55
FL472,DXB,2024-05-10 07:22,AMS,2024-05-10 18:22
FL880,LHR,2024-05-10 06:22,AMS,2024-05-10 08:22
FL229,DXB,2024-05-10 13:03,CPH,2024-05-10 22:03
FL290,HND,2024-05-10 15:55,CPH,2024-05-10 23:55
FL322,DXB,2024-05-10 10:52,CPH,2024-05-10 19:52
FL140,LAX,2024-05-10 12:43,DXB,2024-05-10 21:43
FL346,CDG,2024-05-10 15:22,DXB,2024-05-10 18:22
FL840,DXB,2024-05-10 11:59,CDG,2024-05-10 21:59
FL987,AMS,2024-05-10 10:13,LHR,2024-05-10 14:13
FL581,LHR,2024-05-10 06:29,SIN,2024-05-10 14:29
FL770,JFK,2024-05-10 08:35,FRA,2024-05-10 15:35
FL231,DXB,2024-05-10 15:22,HND,2024-05-11 01:22
FL311,AMS,2024-05-10 07:56,LAX,2024-05-10 13:56
FL231,JFK,2024-05-10 09:21,CDG,2024-05-10 14:21
FL591,SIN,2024-05-10 13:53,LHR,2024-05-10 20:53
FL498,FRA,2024-05-10 14:17,LAX,2024-05-10 21:17
FL887,FRA,2024-05-10 09:47,DXB,2024-05-10 10:47
FL465,CDG,2024-05-10 08:41,DXB,2024-05-10 13:41
FL946,HND,2024-05-10 11:09,AMS,2024-05-10 14:09
FL840,LAX,2024-05-10 12:51,DXB,2024-05-10 21:51
FL440,DXB,2024-05-10 10:27,JFK,2024-05-10 13:27
FL404,AMS,2024-05-10 09:47,LHR,2024-05-10 21:47
FL540,JFK,2024-05-10 06:02,DXB,2024-05-10 15:02
FL727,AMS,2024-05-10 09:28,LHR,2024-05-10 10:28
FL845,FRA,2024-05-10 08:11,AMS,2024-05-10 11:11
FL979,LAX,2024-05-10 10:03,HND,2024-05-10 15:03
FL960,HND,2024-05-10 07:23,LHR,2024-05-10 19:23
FL201,LHR,2024-05-10 11:37,JFK,2024-05-10 17:37
FL982,CPH,2024-05-10 07:02,FRA,2024-05-10 14:02
FL521,DXB,2024-05-10 09:47,AMS,2024-05-10 18:47
FL348,SIN,2024-05-10 08:14,FRA,2024-05-10 14:14
FL581,JFK,2024-05-10 12:24,HND,2024-05-10 18:24
FL199,HND,2024-05-10 12:47,LAX,2024-05-10 23:47
FL982,LHR,2024-05-10 06:41,HND,2024-05-10 08:41
FL201,DXB,2024-05-10 12:07,LAX,2024-05-10 23:07
FL821,CPH,2024-05-10 12:57,HND,2024-05-10 22:57
FL550,CPH,2024-05-10 08:20,JFK,2024-05-10 16:20
FL860,HND,2024-05-10 10:03,SIN,2024-05-10 20:03
FL571,CPH,2024-05-10 06:04,DXB,2024-05-10 13:04
FL816,DXB,2024-05-10 09:42,AMS,2024-05-10 13:42
FL987,SIN,2024-05-10 09:19,HND,2024-05-10 19:19
FL145,CDG,2024-05-10 09:13,CPH,2024-05-10 20:13
FL689,LAX,2024-05-10 07:27,FRA,2024-05-10 18:27
FL544,LAX,2024-05-10 09:43,FRA,2024-05-10 18:43
FL665,FRA,2024-05-10 11:59,CDG,2024-05-10 22:59
FL696,CPH,2024-05-10 09:30,LAX,2024-05-10 14:30
FL178,CPH,2024-05-10 07:59,LAX,2024-05-10 10:59
FL105,JFK,2024-05-10 09:46,AMS,2024-05-10 13:46
FL550,CDG,2024-05-10 13:36,DXB,2024-05-10 21:36
FL945,JFK,2024-05-10 13:15,SIN,2024-05-10 21:15
FL193,AMS,2024-05-10 15:56,CPH,2024-05-10 22:56
FL109,LAX,2024-05-10 14:53,FRA,2024-05-11 00:53
FL674,CPH,2024-05-10 15:31,FRA,2024-05-11 00:31
FL603,JFK,2024-05-10 06:06,LHR,2024-05-10 16:06
FL242,HND,2024-05-10 06:39,FRA,2024-05-10 12:39
FL923,LHR,2024-05-10 06:37,JFK,2024-05-10 11:37
FL982,CPH,2024-05-10 11:22,LHR,2024-05-10 16:22
FL338,DXB,2024-05-10 10:57,JFK,2024-05-10 20:57
FL645,CPH,2024-05-10 07:55,DXB,2024-05-10 08:55
FL798,JFK,2024-05-10 09:19,DXB,2024-05-10 14:19
FL536,DXB,2024-05-10 13:16,AMS,2024-05-10 14:16
FL873,CDG,2024-05-10 09:23,LHR,2024-05-10 11:23
FL290,LAX,2024-05-10 13:10,CDG,2024-05-10 20:10
FL681,LHR,2024-05-10 11:36,CDG,2024-05-10 23:36
FL468,JFK,2024-05-10 11:18,SIN,2024-05-10 14:18
FL871,FRA,2024-05-10 08:09,JFK,2024-05-10 14:09
FL166,AMS,2024-05-10 11:29,LHR,2024-05-10 17:29
FL878,LHR,2024-05-10 09:08,JFK,2024-05-10 11:08
FL669,LAX,2024-05-10 06:08,FRA,2024-05-10 09:08
FL510,LAX,2024-05-10 07:40,FRA,2024-05-10 14:40
FL350,JFK,2024-05-10 10:50,CDG,2024-05-10 14:50
FL465,DXB,2024-05-10 08:45,JFK,2024-05-10 09:45
FL368,AMS,2024-05-10 11:18,CPH,2024-05-10 20:18
FL359,AMS,2024-05-10 11:26,LAX,2024-05-10 13:26
FL649,CPH,2024-05-10 09:40,DXB,2024-05-10 19:40
FL783,SIN,2024-05-10 06:13,CPH,2024-05-10 13:13
FL918,FRA,2024-05-10 06:19,CPH,2024-05-10 18:19
FL199,LHR,2024-05-10 13:36,CPH,2024-05-10 17:36
FL501,CDG,2024-05-10 10:56,JFK,2024-05-10 17:56
FL960,LAX,2024-05-10 11:59,DXB,2024-05-10 15:59
FL819,JFK,2024-05-10 13:42,SIN,2024-05-10 19:42
FL212,FRA,2024-05-10 13:40,LHR,2024-05-10 23:40
FL824,CPH,2024-05-10 07:30,AMS,2024-05-10 16:30
FL946,CDG,2024-05-10 06:38,FRA,2024-05-10 08:38
FL201,JFK,2024-05-10 07:57,FRA,2024-05-10 11:57
FL699,LHR,2024-05-10 13:42,DXB,2024-05-10 16:42
FL298,HND,2024-05-10 09:13,SIN,2024-05-10 16:13
FL802,CPH,2024-05-10 11:56,LAX,2024-05-10 16:56
FL821,SIN,2024-05-10 12:17,DXB,2024-05-10 13:17
FL617,FRA,2024-05-10 15:11,JFK,2024-05-10 20:11
FL680,AMS,2024-05-10 13:47,DXB,2024-05-10 20:47
FL987,LHR,2024-05-10 13:51,HND,2024-05-10 15:51
FL733,LHR,2024-05-10 12:10,CPH,2024-05-10 20:10
FL107,CDG,2024-05-10 08:18,LAX,2024-05-10 11:18
FL191,LHR,2024-05-10 09:46,DXB,2024-05-10 21:46
FL714,CDG,2024-05-10 10:54,SIN,2024-05-10 11:54
FL393,FRA,2024-05-10 13:35,HND,2024-05-10 18:35
FL548,CPH,2024-05-10 14:07,FRA,2024-05-10 17:07
FL609,AMS,2024-05-10 06:26,JFK,2024-05-10 18:26
FL498,LAX,2024-05-10 15:37,JFK,2024-05-11 00:37
FL499,LAX,2024-05-10 07:32,HND,2024-05-10 15:32
FL612,JFK,2024-05-10 10:03,LAX,2024-05-10 15:03
FL453,FRA,2024-05-10 10:15,HND,2024-05-10 19:15
FL209,JFK,2024-05-10 07:10,CDG,2024-05-10 17:10
FL185,HND,2024-05-10 07:59,FRA,2024-05-10 18:59
FL873,JFK,2024-05-10 07:06,LHR,2024-05-10 11:06
FL284,CDG,2024-05-10 09:41,DXB,2024-05-10 19:41
FL871,DXB,2024-05-10 09:31,CDG,2024-05-10 13:31
FL269,LAX,2024-05-10 10:20,FRA,2024-05-10 12:20
FL747,DXB,2024-05-10 15:37,SIN,2024-05-10 23:37
FL356,FRA,2024-05-10 07:35,LHR,2024-05-10 18:35
FL823,CPH,2024-05-10 08:16,LHR,2024-05-10 13:16
FL937,CPH,2024-05-10 09:44,AMS,2024-05-10 12:44
FL254,FRA,2024-05-10 13:49,CDG,2024-05-11 01:49
FL681,CPH,2024-05-10 11:27,LAX,2024-05-10 15:27
FL365,JFK,2024-05-10 07:48,CDG,2024-05-10 15:48
FL343,CDG,2024-05-10 15:10,AMS,2024-05-11 00:10
FL316,CDG,2024-05-10 12:31,CPH,2024-05-10 19:31
FL590,CDG,2024-05-10 14:47,FRA,2024-05-10 15:47
FL362,JFK,2024-05-10 11:38,CPH,2024-05-10 13:38
FL326,LAX,2024-05-10 06:32,FRA,2024-05-10 10:32
FL394,DXB,2024-05-10 10:21,SIN,2024-05-10 19:21
FL840,CDG,2024-05-10 12:08,FRA,2024-05-10 19:08
FL138,JFK,2024-05-10 14:59,LAX,2024-05-10 21:59
FL209,SIN,2024-05-10 08:42,CDG,2024-05-10 10:42
FL199,HND,2024-05-10 07:43,JFK,2024-05-10 15:43
FL837,FRA,2024-05-10 07:44,CPH,2024-05-10 16:44
FL581,FRA,2024-05-10 11:16,HND,2024-05-10 20:16
FL546,JFK,2024-05-10 14:51,LAX,2024-05-11 00:51
FL629,CPH,2024-05-10 11:50,AMS,2024-05-10 18:50
FL293,CDG,2024-05-10 09:49,JFK,2024-05-10 19:49
FL161,SIN,2024-05-10 14:47,JFK,2024-05-10 19:47
FL775,LHR,2024-05-10 14:35,HND,2024-05-11 02:35
FL950,CPH,2024-05-10 08:25,HND,2024-05-10 18:25
FL835,FRA,2024-05-10 11:40,CDG,2024-05-10 13:40
FL356,HND,2024-05-10 08:59,CPH,2024-05-10 13:59
FL368,JFK,2024-05-10 15:30,LHR,2024-05-10 23:30
FL982,LAX,2024-05-10 09:45,SIN,2024-05-10 11:45
FL949,SIN,2024-05-10 07:54,DXB,2024-05-10 18:54
FL360,SIN,2024-05-10 12:18,LAX,2024-05-10 20:18
FL499,AMS,2024-05-10 09:48,SIN,2024-05-10 16:48
FL404,JFK,2024-05-10 12:05,LHR,2024-05-10 21:05
FL634,LAX,2024-05-10 08:47,CPH,2024-05-10 10:47
FL228,DXB,2024-05-10 07:52,FRA,2024-05-10 10:52
FL159,LHR,2024-05-10 10:06,HND,2024-05-10 21:06
FL939,CDG,2024-05-10 13:38,SIN,2024-05-10 15:38
